RegionID,SizeRank,RegionName,RegionType,StateName,2015-01-31,2015-02-28,2015-03-31,2015-04-30,2015-05-31,2015-06-30,2015-07-31,2015-08-31,2015-09-30,2015-10-31,2015-11-30,2015-12-31,2016-01-31,2016-02-29,2016-03-31,2016-04-30,2016-05-31,2016-06-30,2016-07-31,2016-08-31,2016-09-30,2016-10-31,2016-11-30,2016-12-31,2017-01-31,2017-02-28,2017-03-31,2017-04-30,2017-05-31,2017-06-30,2017-07-31,2017-08-31,2017-09-30,2017-10-31,2017-11-30,2017-12-31,2018-01-31,2018-02-28,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31,2021-08-31,2021-09-30,2021-10-31,2021-11-30,2021-12-31,2022-01-31,2022-02-28,2022-03-31,2022-04-30,2022-05-31,2022-06-30,2022-07-31,2022-08-31,2022-09-30,2022-10-31,2022-11-30,2022-12-31,2023-01-31,2023-02-28,2023-03-31,2023-04-30,2023-05-31,2023-06-30,2023-07-31,2023-08-31,2023-09-30,2023-10-31,2023-11-30,2023-12-31,2024-01-31,2024-02-29
102001,0,United States,country,,1263.2350057392937,1268.5919206003962,1273.6879997759152,1279.1051846599871,1283.3661198807222,1288.1832896682106,1293.5621553974481,1299.5454490728202,1304.7654073670342,1310.1133445935084,1315.2956324057775,1320.9849555952558,1324.9383322830472,1328.2930831758881,1330.2844283208774,1335.1218216287423,1339.5502595251128,1344.4069749173682,1346.977958886535,1350.322197877048,1353.3975478743826,1356.5279805542034,1359.2605685849476,1362.089401569676,1369.2026690514758,1376.7722375639069,1385.5975154596304,1390.3917516292324,1395.45235774657,1400.0834000109485,1405.360370499753,1410.055455117279,1416.0761639513778,1421.168131702097,1426.9143986263678,1432.012679337021,1436.983390234101,1441.818040061889,1446.922819757142,1452.2935363097306,1457.2593346283516,1462.3763970731356,1467.9472498469054,1473.6873685518774,1478.867738539825,1484.612303700138,1490.868000843083,1497.7495250474142,1502.7398761551399,1507.5793581948694,1511.9128854098915,1517.5358276428599,1523.5454707438719,1529.5979830096185,1535.4787041674133,1541.3677570769275,1547.1204566593335,1552.9001594265612,1558.0594573033031,1563.0726350333955,1568.816156592904,1574.7356332198342,1580.6570454560629,1582.6214178166356,1585.3872199598745,1590.6623893423898,1601.771568212354,1613.229476928812,1626.5199627783202,1639.5561919903034,1653.32195409983,1665.9292955607616,1678.8210411544676,1691.364455696594,1705.3797052683854,1722.369447469831,1742.2485606116757,1763.6202970351085,1783.623153995502,1805.0682432986175,1825.922500500681,1845.4291572341185,1863.98132778002,1881.8422986476876,1899.392548766671,1916.7303819618996,1933.5172371471676,1949.969151438055,1965.0589312281704,1980.109704411446,1992.8883703066715,2003.3909005327253,2011.6396014272602,2021.4301662036175,2029.830975784205,2040.1899130564345,2047.6048870389193,2056.023428583486,2065.220206774902,2073.748101121911,2081.3557428264617,2087.3782852966337,2094.3583525832273,2102.0298696096306,2111.0873880521317,2119.4110831586167,2128.833037088655,2137.0000780088635,2147.1452524056913,2156.2965781333046
394913,1,"New York, NY",msa,NY,2367.3569242169224,2383.6410597065246,2394.446797943253,2404.441490105526,2401.0695540596885,2410.3997867101693,2415.815322253149,2426.672455838238,2429.9482840674164,2432.3302602832423,2443.289160995661,2457.655114356194,2473.2750935496306,2475.6122693559823,2479.457335457228,2486.346877921505,2498.5758658341797,2501.454619465687,2507.41199170047,2510.2788068398113,2509.2426587245723,2517.2813449059463,2531.03686424469,2540.408383929892,2553.42355058402,2560.654377968507,2572.53424493592,2572.9500894283715,2577.7527041768813,2583.276586400283,2593.966474417903,2597.541423492976,2633.20424660798,2645.941150693898,2649.993992100394,2631.379196775412,2630.4499054233247,2639.590589401297,2638.6708273510476,2645.0817539472414,2652.4002920776575,2663.6592124611466,2672.735255979902,2693.243539383019,2703.7537480499686,2701.0103846663746,2702.187241774962,2704.430848120492,2716.9625973090697,2730.0780848149143,2742.1090196924715,2753.6856472965283,2761.830227970112,2768.309259658829,2773.7405342869274,2774.7791236474263,2769.2345985402117,2783.869741517102,2798.7163025468044,2825.0836507536314,2834.2638335963507,2839.748486689065,2831.974097358352,2839.7219627413065,2858.688292125932,2867.261349940174,2883.550028542321,2894.965831551341,2924.18292004385,2925.4507410315755,2961.678992408989,2966.8213061903025,3006.246612306199,3014.334721774795,3045.634745085002,3066.8930999388967,3083.2859690317264,3105.9943342025285,3124.3157066692133,3154.727903666387,3169.7377241385248,3201.5404946997573,3214.4346537322726,3251.117094366897,3285.054079903501,3335.9060701850576,3349.8535849097416,3363.7132584540846,3378.568982884074,3400.6086409395443,3433.0418044545168,3460.480821018798,3490.900978535226,3507.236861426929,3521.3592815835605,3523.734809463094,3516.8472641393214,3533.813522657118,3555.7116366868545,3581.440355997049,3606.5299684763218,3624.781006514073,3635.1848604423817,3644.279097469698,3655.1107885842684,3673.501791735753,3696.1442146671493,3722.368281308998,3750.8120716055414,3758.653866348104
753899,2,"Los Angeles, CA",msa,CA,2539.745725305246,2552.3520996298375,2562.249201639701,2567.9545883781716,2574.1471716253923,2586.8868650259187,2603.7719553064067,2620.341397401945,2636.087295787021,2650.5715267389755,2661.2024298658275,2678.3857372290618,2689.030495226274,2702.387161033592,2711.177336480575,2720.620844938071,2730.6605963337624,2740.410574659295,2748.1983563376502,2757.050727051194,2765.6450158130074,2773.584294609417,2777.42530479257,2781.311365602939,2802.1378593572053,2821.200903351846,2844.4115695726096,2859.4087513828254,2872.3552621491253,2881.262068269881,2890.197180203109,2899.8349515379746,2913.5984899695572,2923.497338141284,2937.4272045274006,2945.5434125736624,2954.099546837438,2965.658014622117,2974.3796980314173,2990.0316444580717,2995.2174834429447,3009.317336863641,3019.7774364306097,3032.860750271194,3044.473581303316,3058.495726728068,3077.961050397806,3091.16765774994,3099.950757535086,3101.0567995169376,3108.225532810499,3114.1684531759215,3129.1705442691386,3139.105724012437,3152.007755809905,3162.1777675590242,3171.2199302289728,3180.3567517962347,3184.05893738904,3195.3294916964883,3206.3462562847067,3222.168894513262,3211.110508404284,3202.0411567644915,3198.559170309527,3210.5273508750847,3238.3625344599886,3256.089238249207,3275.097629878223,3291.5570431539904,3314.9325457083846,3335.605113345786,3352.1610490265643,3372.8627796527685,3397.499217676534,3424.9004038533,3450.1970208989824,3477.1652578774324,3501.7813724943403,3546.8487206138957,3594.286286579614,3637.292909747197,3669.4841744010523,3702.8553378523316,3741.3590640259927,3780.65520506085,3815.304192373773,3849.4343176460375,3885.7622123046567,3911.7710300604126,3931.0715255851974,3935.075885567941,3946.8037946817158,3967.682510815882,3989.6341997027002,4001.9375338330005,4006.613278577432,4015.1465361614155,4029.2784638280996,4043.811730668086,4055.897937069829,4071.787220954107,4090.13611752032,4111.6375182903175,4125.391488007433,4134.841628344608,4147.59029223205,4167.561855413226,4191.699470705926,4211.3772438425885
394463,3,"Chicago, IL",msa,IL,1494.8969883520213,1496.7987985998827,1500.2384384591548,1506.0130793697097,1512.5887521223374,1514.965479267261,1517.8266927234188,1518.615586945234,1520.482581153113,1523.3540331330635,1531.9071150754469,1542.5122645703066,1544.9025439738919,1546.17845111184,1546.2824069345972,1549.4624892658298,1550.4745171229767,1552.2536999983508,1555.5644904418157,1564.714915611385,1567.255247980678,1571.1196683409134,1565.7061786542188,1561.9892025248287,1567.0474239468556,1574.3579138265513,1584.4198991802577,1588.3309870332514,1594.1618296171089,1596.765932651992,1599.133497648512,1598.2495390669928,1601.5323053564805,1602.1004759207433,1606.2133434845814,1610.7721848912877,1614.3529553485378,1619.4108176747388,1621.5806863335993,1627.6372030385778,1628.266828683722,1631.6632697819718,1635.1117272745573,1639.4633276010245,1643.6078125173667,1646.3969233223045,1651.6484075348617,1656.1672719997805,1661.5743017570726,1662.0576049816705,1664.0967867947284,1665.5469138612773,1670.8028941030211,1675.5737382910497,1680.223577817903,1684.6792125893169,1688.5975952478973,1694.599854871318,1698.7318092350858,1702.9351974687822,1705.4819039130748,1710.834427488419,1713.8849529730912,1714.2931663663073,1714.1508298558429,1714.1671772720515,1720.1479365284622,1727.9524292958286,1732.2038152454686,1736.8445790699109,1743.5189786664703,1754.8285835145166,1770.067792767335,1784.4222806402186,1791.8727885647065,1801.9839176634453,1812.2296491288892,1833.0493364650777,1849.1662401111075,1863.2786676666585,1880.2839624089916,1897.1326678064017,1915.6688525606241,1929.1319135993397,1938.1308870775447,1947.643629002503,1963.050212346214,1980.2883724547873,1998.8235479990087,2009.1974718740105,2023.2821516365589,2035.4296476555674,2041.5694639164153,2053.156502216102,2057.5072729260214,2072.5222101750514,2083.383880421882,2096.275684457181,2107.3245656437366,2117.269321386303,2126.4177455137587,2136.7276399021407,2145.622130198712,2157.0584801491977,2172.7849915784413,2184.4503021598534,2200.8397833607078,2210.6979809138397,2225.5782626953123,2238.9342134468966
394514,4,"Dallas, TX",msa,TX,1374.679081894182,1380.7788191552706,1386.1086209727173,1393.149370563072,1399.472727463787,1406.2577096474758,1413.6484094686175,1419.4957172116594,1425.1565360540565,1430.87118983252,1439.0206626457243,1445.652063440218,1449.7579485181072,1454.3801428479792,1459.700867359586,1466.6710080483576,1470.5157574355007,1475.23007717302,1478.9514745327558,1484.5898768883112,1489.1296884424976,1492.7295778343878,1496.5670099024971,1500.6066272985206,1510.2314230900474,1517.9420827870467,1527.06264662776,1531.8018773728734,1539.203041176427,1543.1221464387645,1548.7846336966838,1553.6341125600036,1558.891786441934,1564.455110346295,1569.8833089749278,1577.5818794268196,1581.9229241535259,1586.469208573479,1588.4767371943192,1593.4272066095632,1595.4526575907125,1602.9953227736287,1607.1303611243895,1612.896490913594,1618.09726286321,1622.584707588634,1627.421160553005,1631.7843042236636,1637.3720017461637,1641.6890179379586,1647.2699254883576,1652.2616477748102,1658.78295988001,1662.434865381264,1667.9372686449892,1672.0636626946564,1676.5233719085245,1681.4570457622717,1685.9566418529787,1689.5948124685112,1692.7167511254686,1697.003526077989,1706.8212496417896,1707.4127338752535,1707.4790877388791,1711.5787352973477,1721.4395952514885,1731.7488099563177,1742.545650476308,1755.446367147916,1771.009652709854,1788.0891145102594,1804.6128190471409,1819.097078711393,1834.2425448210697,1852.2009880104706,1875.4900428109086,1898.4204276579264,1924.2880390330386,1950.4234728441252,1978.5795663570184,2004.3237664088906,2021.9750165618905,2037.1992306413974,2051.3935070496564,2070.3521153226297,2089.3109507387962,2109.857092394157,2129.071296075669,2147.894241972159,2159.3327165643223,2170.156655577662,2179.236866317527,2193.0327635373983,2201.236433099715,2212.226860299021,2218.5922214801653,2226.257023694158,2234.172295898042,2240.3877346060344,2244.387984407781,2247.7160624557773,2253.428459403578,2258.9536331335953,2264.1511657961196,2265.8931510723473,2274.974974841601,2282.0716880437985,2292.6294492529632,2299.3742872735397
394692,5,"Houston, TX",msa,TX,1487.0908680598477,1493.2759944105617,1499.4220495108855,1503.431121951567,1503.0008972458418,1504.751583625154,1506.6167806836568,1510.0267178505933,1510.958085514711,1514.3704634599046,1519.6037614475135,1521.8960447437832,1522.8793636165346,1518.8028522203638,1517.08291636275,1513.4219621882396,1511.6614827967799,1509.6977988127346,1509.416595684558,1507.664914051683,1504.0177904444772,1497.9756199749575,1490.1002107542456,1487.6391834455558,1494.5203460408345,1506.8519176521868,1518.84801816906,1522.026540393362,1525.0458784836253,1525.43056651278,1528.5024824444936,1531.5785802796322,1543.074446307551,1554.8699797017716,1566.7276916381813,1570.915601602457,1572.973299450587,1572.3318173766338,1572.0546924243185,1572.1367751674009,1574.072192399575,1578.3705541434183,1581.0156572702,1585.0892857454178,1585.506503613141,1586.6171093555038,1587.639975762826,1591.8981687567875,1594.050529318878,1597.0419128037827,1598.8846224254537,1605.3096218696214,1610.1498881290472,1614.4463810747036,1618.3453675614003,1621.4624051084745,1623.7558310781485,1625.9255211042594,1628.6384955952472,1631.725656268205,1635.7272570344762,1639.4834242260124,1643.7757128923552,1642.4102120780017,1642.1555864618317,1641.8729087318854,1652.0551885965492,1662.180481542806,1674.5199098851003,1682.5110308234637,1693.8282463751038,1705.1854421751239,1718.4693944883259,1726.4184806673832,1738.052026716583,1750.6242268872354,1767.9359527560807,1783.2835088645083,1792.585332625241,1807.3871934625759,1822.113918332824,1843.2489512688846,1858.229646963648,1873.0283942403182,1881.862115205862,1894.8468751434145,1901.9025674575603,1914.9591753065315,1923.8902098495114,1939.3173699761662,1948.434830040711,1956.8934624151873,1961.165283566414,1970.706217559556,1974.8740483850904,1983.121398560832,1986.4689145019297,1995.1684399192645,2005.768847304943,2012.1448553484984,2018.8126603870671,2021.190393270118,2029.073861954959,2034.3837094788432,2042.1976212886939,2043.3340408825254,2050.8018513971397,2054.9510748465977,2065.079818744475,2069.738958931924
395209,6,"Washington, DC",msa,VA,2084.637374113659,2093.660207673091,2102.445805113131,2103.482164590668,2102.1631953188,2102.972624859539,2105.088230450024,2107.999957728008,2114.027475879537,2120.3078597914323,2127.8163600435555,2130.714881174382,2133.859921645781,2135.882464627525,2135.8979962664266,2136.27814225828,2140.619148205027,2145.2586064719435,2150.7962868432924,2155.6388172690326,2155.480136952863,2156.006891127185,2156.483141867386,2160.6001631320596,2167.892561634738,2175.585076291475,2186.5872199256078,2190.7512875323328,2193.4600173185245,2195.007983715634,2199.6985966416505,2201.302361726044,2208.4201249186326,2212.429901859293,2216.8420450692515,2223.587754255142,2226.1271470466236,2230.085215703331,2231.545778430195,2238.3694827637996,2244.193411159405,2249.2793993161467,2253.6894156478857,2259.555622340423,2262.3884816753866,2268.030018657409,2276.7910961478074,2286.2007706149357,2286.57850602325,2290.927814828967,2296.0721972161205,2300.7622717909844,2306.3431632459674,2313.0552131646573,2318.6093970243364,2324.7355217253175,2331.5410048527933,2337.6373703523427,2341.2115672765685,2342.660624194868,2352.6622892619343,2359.0696601464097,2369.4718005135605,2366.896019961068,2368.7655855705543,2371.2635089888327,2378.539888333878,2387.527951182958,2398.7560330857204,2404.6126570111237,2415.0777543052354,2423.110156027323,2436.176902145159,2440.075722415614,2450.5191760448556,2462.148366236979,2482.327538076593,2501.4295401296063,2518.6532046801353,2537.4240378207696,2553.917611070379,2575.526608687259,2586.3376327505,2601.6880434574227,2613.867762804735,2637.8554592120527,2659.8281333687714,2683.1735043737744,2696.5052361297826,2706.0258970169866,2713.1001515204257,2722.2369569690113,2737.067984167731,2748.9176376479063,2762.23194719934,2779.565441588465,2788.7521209359847,2801.3135612714455,2809.018952811112,2817.561930564288,2828.7517579726914,2843.507545753616,2860.2893969946285,2874.350785301564,2884.5946292238664,2895.7325939541956,2910.3496676043646,2920.031395231185,2936.3511269319183,2946.1757089221123
394974,7,"Philadelphia, PA",msa,PA,1311.0822115642536,1315.5020263727208,1321.247286162926,1324.6788465152072,1327.6411556947253,1327.426387160032,1330.6850555339488,1332.932367028508,1339.4899253093215,1345.9888867532331,1345.2869790725904,1345.8748980771832,1344.327607094334,1351.1405848327624,1353.7948327958877,1359.6209898005739,1362.206319143453,1369.151476440521,1372.9664772857532,1376.2001125553634,1374.2616287771307,1372.242570615888,1378.1265257396087,1382.424562573181,1391.7822788875674,1393.9953974190428,1401.1356993900372,1402.5148528169066,1405.0000065840482,1404.5680523173826,1408.933316934822,1415.1163525703316,1422.694638730147,1427.2098573894184,1431.2829293443724,1436.5978115332978,1438.4218571068475,1441.5450708397268,1445.5303413086588,1452.1279818442138,1458.1789420995226,1461.3057687208745,1463.1192034471587,1465.331164923737,1470.8685553856687,1477.7331631898894,1482.694167607041,1484.899842317025,1490.050060435718,1495.2137008462446,1498.4887443980886,1502.1289435387978,1506.476170678544,1513.8616430381003,1520.5361917674918,1526.262259584457,1529.7734272400992,1533.911248326038,1538.470225839741,1545.0075167943376,1550.201924137743,1556.1840354113015,1558.3010289444696,1559.9032430871075,1561.512497288243,1566.1905524041035,1578.1106988477377,1587.1933958268276,1599.1780322390985,1606.034287523584,1617.0867474054203,1625.9771883109422,1638.4657573611203,1648.636478047712,1656.2692217517854,1668.181530797094,1682.502829530076,1696.3465697906563,1707.1928561610878,1720.5844348736834,1732.4133133888795,1746.2272136354125,1760.22224780231,1778.1278746774083,1793.1230111899774,1803.1328202510283,1814.2895945218381,1824.661093966764,1839.4195920662871,1852.9780789613997,1866.6543986536315,1879.9020558298218,1886.8171647175823,1889.0000728453178,1893.6015308570068,1901.069744063164,1908.8042346121479,1919.8106925165093,1931.2726512721579,1941.9505164872212,1947.9511901791932,1954.5128577146047,1961.0770565352425,1967.4052095307516,1979.0711143539677,1994.6291002124165,2007.4403582054408,2016.4509296622912,2026.2247675624612,2036.545494418265
394856,8,"Miami, FL",msa,FL,1719.8283519609608,1729.5503774090432,1740.1630018845672,1749.5106177259463,1756.222428636607,1764.3846700746687,1773.7000216387107,1780.8370186864206,1790.4612908233648,1797.6399055106003,1808.5863276122634,1816.3988197644012,1827.661928138146,1831.4104551254145,1835.4194862051204,1838.8183106940835,1845.7287238692647,1848.0693818383245,1847.8440077384,1851.2581301143578,1856.548663556048,1860.834041031362,1866.3416040943546,1870.0737942752148,1876.7313808250017,1883.4824706539428,1891.5338419798143,1896.4909790855281,1900.110961513735,1907.6250068626528,1917.4114508317043,1925.6743740661152,1928.3953282882944,1932.3614934254606,1935.6272425094917,1944.4739961637108,1951.9662151950454,1959.0917251058315,1963.49282282784,1971.895111009747,1978.5931447351413,1983.7546153612852,1989.1873158496971,1996.1622461013433,2002.902017860416,2008.3286580207298,2012.520033969632,2017.804795316006,2024.3410179769198,2030.9428161809599,2037.7685458868407,2043.4098988909539,2050.502852744073,2057.872688241242,2064.5220201941456,2070.1544983066237,2078.3878743956016,2087.4111602611,2097.5493507083543,2104.6857025880963,2111.0299116244037,2117.9436122958446,2126.030642316441,2131.322270412655,2126.9624976709624,2138.431745205195,2155.9132028390713,2173.511098072464,2190.3170182970325,,2250.419108399713,2277.1155467997646,2289.611357781257,2312.9730901849184,2332.774763531047,2364.443751144448,2412.827339523647,2465.8766428603917,2524.0883373046904,2574.3522080887437,2644.187345035502,2691.330406115899,2753.0019368377098,2810.032336228873,2890.2417562799696,2942.386717470693,3001.1793264051967,3047.9278571558752,3101.3284934824333,3131.852626259575,3158.832096296084,3179.6823414347186,3180.540505366209,3191.2283639842017,3199.9233364381807,3223.750509118551,3225.27964282891,3231.1387837587363,3243.0801886466616,3257.8384588055956,3258.6373248045506,3269.6785188480585,3277.8365316434456,3294.638329155516,3314.5904978299172,3335.6327496995286,3348.9739160033023,3353.2169197029966,3365.1685847089425,3385.348906122672
394347,9,"Atlanta, GA",msa,GA,1108.422761222952,1113.499889177582,1116.04596611601,1122.811604171203,1126.6371588351974,1133.9114195703314,1138.849686549926,1144.6202274938828,1149.8343670451916,1154.1141329422571,1157.203104379809,1162.128172428354,1169.6281215105798,1177.6149815541496,1183.298934480326,1187.4451176827333,1191.721054127712,1197.0037121560454,1202.0891822718893,1209.2695252627761,1214.3605442440157,1220.3844246026024,1224.1662073629298,1229.0406274882162,1233.5952789854282,1240.4117665322074,1248.9590155323826,1256.646822468529,1263.8122461970327,1269.6351840808288,1278.6948305500298,1284.9881505828753,1292.3655741459052,1295.4988867344753,1303.4679130680915,1309.0038317018957,1316.7981442254606,1321.5357937605047,1328.2674498907456,1334.3651933417798,1341.822971524362,1346.8355679478284,1352.1608665096032,1357.2944499690518,1364.1349576505816,1373.9433983484485,1382.848815129755,1391.4230762492807,1397.4659064889152,1403.4686770330284,1409.0993774216445,1415.9390948634243,1422.1449417407307,1430.7411068340293,1437.5910424053027,1445.5817075471512,1452.1554567791811,1458.416168240472,1463.423764362955,1469.7124716023152,1476.833437762113,1485.110182891878,1494.0046676164125,1500.7215021656589,1510.0405791530818,1518.1036258017539,1531.4675071808015,1544.9030245224103,1562.793723362338,1578.9818483771342,1596.8730437564209,1615.0699473577956,1635.2399157035686,1658.1959440402225,1679.6433951463378,1705.9997512600705,1728.5873567809688,1756.4995052358029,1778.1677107117068,1807.7495455883227,1831.7970352365048,1860.68286988489,1881.5911884856744,1898.2851746385898,1908.571559566622,1917.3581335797246,1933.1502778979823,1944.7165368586702,1960.5777638964335,1979.4800284000182,2002.3679361285272,2017.794456548623,2029.5895683206022,2040.4185842787792,2050.607532680809,2063.498925250763,2066.895284892427,2070.4342292532683,2078.0961070974477,2086.3122659032942,2092.1559044425685,2092.3659029633645,2091.191713814438,2091.1399862476455,2095.3820403698523,2097.720065450755,2103.6764284419655,2108.9186869978726,2123.338140167153,2136.9128001249223
